"DateTime";"IPhone[en]"
"2010-02-21 00:00:00";8324
"2010-02-22 00:00:00";9116
"2010-02-23 00:00:00";9332
"2010-02-24 00:00:00";8380
"2010-02-25 00:00:00";7418
"2010-02-26 00:00:00";6816
"2010-02-27 00:00:00";7589
"2010-02-28 00:00:00";7808
"2010-03-01 00:00:00";8164
"2010-03-02 00:00:00";9294
"2010-03-03 00:00:00";9591
"2010-03-04 00:00:00";8980
"2010-03-05 00:00:00";9274
"2010-03-06 00:00:00";8485
"2010-03-07 00:00:00";8238
"2010-03-08 00:00:00";8911
"2010-03-09 00:00:00";9061
"2010-03-10 00:00:00";8875
"2010-03-11 00:00:00";8594
"2010-03-12 00:00:00";9113
"2010-03-13 00:00:00";8258
"2010-03-14 00:00:00";8051
"2010-03-15 00:00:00";8939
"2010-03-16 00:00:00";8472
"2010-03-17 00:00:00";8281
"2010-03-18 00:00:00";8398
"2010-03-19 00:00:00";21503
"2010-03-20 00:00:00";7775
"2010-03-21 00:00:00";7576
"2010-03-22 00:00:00";8898
"2010-03-23 00:00:00";8872
"2010-03-24 00:00:00";9515
"2010-03-25 00:00:00";8431
"2010-03-26 00:00:00";9137
"2010-03-27 00:00:00";8130
"2010-03-28 00:00:00";8194
"2010-03-29 00:00:00";9458
